# SignalUncertainties for simplified model based on squark+gluino production 
# with all open production modes (go go, sq sq, sq go, sq sq~) considered
# See further details in ATLSUSYSW-233
SAMPLE        FS        CROSSSECTION[pb]           K-Factor  FILTEREFF REL.UNCERT
373739         1         0.0123178821         1         1         0.19828634
373739         2         0.0006064300         1         1         0.45423246
373739         3         0.0300350257         1         1         0.09873009
373739         4         0.0086698600         1         1         0.16801480
373740         1         0.0034064822         1         1         0.25129440
373740         2         0.0000557298         1         1         0.56013118
373740         3         0.0238933718         1         1         0.08984577
373740         4         0.0076733085         1         1         0.17150946
373741         1         0.0009854118         1         1         0.30598145
373741         2         0.0000053565         1         1         0.66229238
373741         3         0.0191662573         1         1         0.08385248
373741         4         0.0067573639         1         1         0.17821046
373742         1         0.0000757165         1         1         0.47665129
373742         2         0.0000000291         1         1         0.87061178
373742         3         0.0120326950         1         1         0.12400771
373742         4         0.0048679554         1         1         0.22400595
373743         1         0.0000065599         1         1         0.59593144
373743         2         0.0000000000         1         1         0.77592604
373743         3         0.0085471621         1         1         0.11975385
373743         4         0.0040625179         1         1         0.23562955
373744         1         0.0000005001         1         1         0.70175763
373744         2         0.0000000000         1         1         0.00000000
373744         3         0.0063605556         1         1         0.11734459
373744         4         0.0035448539         1         1         0.24375731
373745         1         0.0040940445         1         1         0.24607826
373745         2         0.0005594251         1         1         0.47165048
373745         3         0.0044336696         1         1         0.13779689
373745         4         0.0007105250         1         1         0.27248345
373746         1         0.0011224722         1         1         0.29840309
373746         2         0.0000466372         1         1         0.60874700
373746         3         0.0037323581         1         1         0.12555564
373746         4         0.0006406132         1         1         0.26766898
373747         1         0.0003302035         1         1         0.35975047
373747         2         0.0000044962         1         1         0.71191955
373747         3         0.0031418310         1         1         0.11711033
373747         4         0.0005851419         1         1         0.27150675
373748         1         0.0000247225         1         1         0.53553275
373748         2         0.0000000252         1         1         0.88879415
373748         3         0.0020756426         1         1         0.16531366
373748         4         0.0004285367         1         1         0.31341649
373749         1         0.0000020195         1         1         0.64837247
373749         2         0.0000000000         1         1         0.80291958
373749         3         0.0015208780         1         1         0.16086339
373749         4         0.0003552176         1         1         0.32441193
373750         1         0.0000001368         1         1         0.74641912
373750         2         0.0000000000         1         1         0.00000000
373750         3         0.0011561225         1         1         0.15747326
373750         4         0.0003040671         1         1         0.33301804
373751         1         0.0057948326         1         1         0.25979105
373751         2         0.0104731744         1         1         0.30187793
373751         3         0.0006223859         1         1         0.18381471
373751         4         0.0000565081         1         1         0.41910883
373752         1         0.0014710160         1         1         0.30304541
373752         2         0.0006003678         1         1         0.46260587
373752         3         0.0006009793         1         1         0.17515346
373752         4         0.0000583309         1         1         0.41286965
373753         1         0.0003919795         1         1         0.35771417
373753         2         0.0000445117         1         1         0.62281803
373753         3         0.0005437486         1         1         0.16523362
373753         4         0.0000582261         1         1         0.41413375
373754         1         0.0001120254         1         1         0.41786304
373754         2         0.0000039809         1         1         0.74773489
373754         3         0.0004783786         1         1         0.15642539
373754         4         0.0000538389         1         1         0.41209677
373755         1         0.0000080286         1         1         0.58866275
373755         2         0.0000000219         1         1         0.90723911
373755         3         0.0003356048         1         1         0.20343577
373755         4         0.0000412229         1         1         0.43885781
373756         1         0.0000006004         1         1         0.69906012
373756         2         0.0000000000         1         1         0.83708378
