                        SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
susy.370620.NUHM2_m12_500.slha    113      0.0001325585   1.00000000    1.00000000   0.07482547
susy.370620.NUHM2_m12_500.slha    114      0.0000688236   1.00000000    1.00000000   0.07197169
susy.370620.NUHM2_m12_500.slha    115      0.9426500411   1.00000000    1.00000000   0.06460091
susy.370620.NUHM2_m12_500.slha    116      0.0015013209   1.00000000    1.00000000   0.06183960
susy.370620.NUHM2_m12_500.slha    117      0.5588686815   1.00000000    1.00000000   0.08560539
susy.370620.NUHM2_m12_500.slha    118      0.0007279662   1.00000000    1.00000000   0.07490627
susy.370620.NUHM2_m12_500.slha    122      0.0002061240   1.00000000    1.00000000   0.07176449
susy.370620.NUHM2_m12_500.slha    123      0.0211437195   1.00000000    1.00000000   0.06388222
susy.370620.NUHM2_m12_500.slha    124      0.0014907193   1.00000000    1.00000000   0.06151866
susy.370620.NUHM2_m12_500.slha    125      0.6819165298   1.00000000    1.00000000   0.06356555
susy.370620.NUHM2_m12_500.slha    126      0.0021061945   1.00000000    1.00000000   0.05664429
susy.370620.NUHM2_m12_500.slha    127      0.3955900373   1.00000000    1.00000000   0.08416802
susy.370620.NUHM2_m12_500.slha    128      0.0010081829   1.00000000    1.00000000   0.07123419
susy.370620.NUHM2_m12_500.slha    133      0.0000195970   1.00000000    1.00000000   0.10671913
susy.370620.NUHM2_m12_500.slha    134      0.0000176193   1.00000000    1.00000000   0.07871367
susy.370620.NUHM2_m12_500.slha    135      0.0340389859   1.00000000    1.00000000   0.05924527
susy.370620.NUHM2_m12_500.slha    136      0.0006926196   1.00000000    1.00000000   0.05800427
susy.370620.NUHM2_m12_500.slha    137      0.0187411871   1.00000000    1.00000000   0.08099696
susy.370620.NUHM2_m12_500.slha    138      0.0003229659   1.00000000    1.00000000   0.07606581
susy.370620.NUHM2_m12_500.slha    144      0.0000098797   1.00000000    1.00000000   0.07455477
susy.370620.NUHM2_m12_500.slha    145      0.0016797877   1.00000000    1.00000000   0.05654557
susy.370620.NUHM2_m12_500.slha    146      0.0453186981   1.00000000    1.00000000   0.06092776
susy.370620.NUHM2_m12_500.slha    147      0.0008077861   1.00000000    1.00000000   0.07385221
susy.370620.NUHM2_m12_500.slha    148      0.0192295608   1.00000000    1.00000000   0.07792430
susy.370620.NUHM2_m12_500.slha    157      0.7280789222   1.00000000    1.00000000   0.07328355
susy.370620.NUHM2_m12_500.slha    158      0.0014642018   1.00000000    1.00000000   0.06676658
susy.370620.NUHM2_m12_500.slha    167      0.0014587803   1.00000000    1.00000000   0.06499176
susy.370620.NUHM2_m12_500.slha    168      0.0324683300   1.00000000    1.00000000   0.06503155
susy.370621.NUHM2_m12_600.slha    111      0.0012897690   1.00000000    1.00000000   0.07308455
susy.370621.NUHM2_m12_600.slha    112      0.6656504736   1.00000000    1.00000000   0.07047924
